ARMOR,HELMET,EYES,MOUTH,ACCESSORY,BACKGROUND
,,,,,
Gold,Gold,Level 1 Space Goggles,Toothpick,Angel,Black (Rare)
Python,Python,Level 2 Space Goggles,Wheat,Devil,White (Rare)
Cheetah,Cheetah,Level 3 Space Goggles,Diamond,Dev,Cosmic (Rare)
Holy,Holy,Level 4 Space Goggles,Gold,Dev Do Something,Dark Navy
Heathen,Heathen,Level 5 Space Goggles,Bubblegum,Dave,Hunter Green
Pimp,Pimp,Laser Beam,Street Light,Rat in a Suit,Martian Red
Bearskin,Bearskin,Falling Out Eyes,Battle Scar,Nunchucks,Burnt Orange
Lionskin,Lionskin,Gold Visor,Tattoo,Samurai Sword,
Silver,Silver,Camo Visor,Big Mouth,Laser Blaster,
Bronze,Bronze,Black Visor,No Talk,Sniper,
Chrome,Chrome,Chrome Visor,Breathing Machine #206,Knives,
Link,Link,Red Visor,Voice Changer,Grenades,
Hawaiin,Hawaiin,Angry Eyes,Blood Drip,Machette,
Camo Green,Camo Green,Pop-Out Eyes,Sona Drip,Roulette Wheel,
Digi Camo,Digi Camo,Lazy Eye,Nuc'lar (Hazmat),Laptop,
Navy,Navy,Lazy Eyes,Green Juice,Backpack,
Black,Black,Dead,,Ring,
Pink,Pink,Aye Eye (Pirate),,Big scissors ,
Mars Red,Mars Red,Cross Eyed,,Useless Diploma,
Neptune Blue,Neptune Blue,Black shades,,Diamond Hands,
Solar (Orange),Solar (Orange),Chrome shades,,,
Hunter Green,Hunter Green,Gold shades,,,
Slime Green,Slime Green,Camo shades,,,
Nuc'lar (Hazmat),Nuc'lar (Hazmat),Red shades,,,
Coffee,Coffee,,,,
Suit,Suit (Top Hat),,,,
Skeleton,Skeleton,,,,
Royalty,Royalty,,,,
Brick,Brick,,,,
Monk,Monk,,,,
Wood,Wood,,,,
Diamond,Diamond,,,,
